4	Мася	Сиам	Белый	2	н/д	Иванов
1	Муся	Порода	Рыжий	3	н/д	Петров
11	Кличка	Порода	Черный	4	н/д	Сидоров
2	Кличка	Порода	Окрас	3	н/д	Фамилия
3	Кличка	Порода	Окрас	1	н/д	Фамилия
5	Кличка	Порода	Окрас	3	н/д	Фамилия
7	Кличка	Порода	Окрас	3	н/д	Фамилия
8	Кличка	Порода	Окрас	3	н/д	Фамилия
9	Кличка	Порода	Окрас	3	н/д	Фамилия
10	Кличка	Сиам	Окрас	3	н/д	Фамилия
12	Кличка	Порода	Окрас	3	н/д	Фамилия
13	Кличка	Порода	Окрас	3	н/д	Фамилия
14	Кличка	Порода	Окрас	3	н/д	Фамилия
15	Кличка	Порода	Окрас	3	н/д	Фамилия
16	Кличка	Порода	Окрас	3	н/д	Фамилия
17	Кличка	Сиам	Окрас	3	н/д	Фамилия
18	Кличка	Порода	Окрас	3	н/д	Фамилия
19	Кличка	Порода	Окрас	3	н/д	Фамилия
20	Кличка	Порода	Окрас	3	н/д	Фамилия
21	Кличка	Порода	Окрас	3	н/д	Фамилия
22	Кличка	Порода	Окрас	3	н/д	Фамилия
23	Кличка	Порода	Окрас	3	н/д	Фамилия
24	Кличка	Сиам	Окрас	4	н/д	Фамилия
25	Кличка	Порода	Окрас	3	н/д	Фамилия
6	Кличка	Сиам	Окрас	1	н/д	Фамилия
